Verb,Preposition,Case,Translation_en,Translation_fr,Exemple,ExampleTranslation_en,ExampleTranslation_fr,WrongPrepositions
sich ärgern,über,Akk,get angry about,se fâcher à propos de,Ich ärgere mich über den Verkehr.,I get angry about the traffic.,Je me fâche à cause de la circulation.,"unter, mit, bei, auf, bis"
sich aufregen,über,Akk,get upset about,s’énerver au sujet de,Sie regt sich über die Verspätung auf.,She gets upset about the delay.,Elle s'énerve à propos du retard.,"unter, an, von, ohne, vor"
antworten,auf,Akk,answer to,répondre à,Er antwortet auf die Frage.,He answers the question.,Il répond à la question.,"an, ohne, über, gegen, von"
achten,auf,Akk,pay attention to,faire attention à,Achte auf den Hund!,Pay attention to the dog!,Fais attention au chien !,"nach, ohne, für, an, vor"
anfangen,mit,Dat,start with,commencer par,Wir fangen mit dem Projekt an.,We start with the project.,Nous commençons par le projet.,"nach, zu, an, zwischen, auf"
aufhören,mit,Dat,stop doing,arrêter de,Ich höre mit dem Rauchen auf.,I stop smoking.,J’arrête de fumer.,"über, zu, an, vor, gegen"
aufpassen,auf,Akk,watch,surveiller,Pass auf die Kinder auf!,Watch the children!,Surveille les enfants !,"gegen, unter, von, bei, bis"
bestehen,aus,Dat,consist of,se composer de,Die Gruppe besteht aus fünf Personen.,The group consists of five people.,Le groupe se compose de cinq personnes.,"unter, vor, von, für, bei"
bestehen,auf,Dat,insist on,tenir à, insister sur,Er besteht auf seiner Meinung.,He insists on his opinion.,Il insiste sur son opinion.,"für, vor, zwischen, über, ohne"
sich beziehen,auf,Akk,refer to,se référer à,Ich beziehe mich auf Ihre E-Mail.,I refer to your email.,Je me réfère à votre e-mail.,"vor, nach, von, über, ohne"
bitten,um,Akk,ask for,demander (qqch),Er bittet um Hilfe.,He asks for help.,Il demande de l’aide.,"gegen, unter, auf, über, mit"
denken,an,Akk,think of,penser à,Ich denke an dich.,I think of you.,Je pense à toi.,"nach, unter, vor, ohne, bei"
diskutieren,über,Akk,discuss,discuter de,Wir diskutieren über das Problem.,We discuss the problem.,Nous discutons du problème.,"ohne, zwischen, mit, an, zu"
sich entscheiden,für,Akk,decide for,se décider pour,Sie entscheidet sich für das rote Kleid.,She decides for the red dress.,Elle opte pour la robe rouge.,"an, zwischen, bei, über, zu"
sich entscheiden,gegen,Akk,decide against,se décider contre,Er entscheidet sich gegen das Angebot.,He decides against the offer.,Il rejette l’offre.,"nach, über, zu, an, zwischen"
sich entschuldigen,für,Akk,apologize for,s’excuser de,Ich entschuldige mich für meinen Fehler.,I apologize for my mistake.,Je m'excuse pour mon erreur.,"mit, vor, ohne, über, gegen"
sich entschuldigen,bei,Dat,apologize to,s’excuser auprès de,Sie entschuldigt sich bei ihrem Chef.,She apologizes to her boss.,Elle s'excuse auprès de son chef.,"auf, ohne, nach, bis, zwischen"
sich erinnern,an,Akk,remember,se souvenir de,Ich erinnere mich an den Urlaub.,I remember the vacation.,Je me souviens des vacances.,"bis, für, ohne, nach, zu"
sich freuen,auf,Akk,look forward to,se réjouir de (futur),Ich freue mich auf das Wochenende.,I look forward to the weekend.,Je me réjouis du week-end.,"ohne, bis, über, gegen, vor"
sich freuen,über,Akk,be happy about,se réjouir de (présent/passé),Sie freut sich über das Geschenk.,She is happy about the gift.,Elle est contente du cadeau.,"bis, an, unter, mit, gegen"
gehören,zu,Dat,belong to,appartenir à,Das Buch gehört zu mir.,The book belongs to me.,Ce livre m’appartient.,"mit, für, vor, ohne, unter"
glauben,an,Akk,believe in,croire en,Ich glaube an dich.,I believe in you.,Je crois en toi.,"zu, über, unter, auf, ohne"
halten,für,Akk,consider as,considérer comme,Ich halte dich für intelligent.,I consider you intelligent.,Je te considère comme intelligent.,"zu, an, bei, unter, ohne"
hören,von,Dat,hear about,entendre parler de,Ich habe nichts von ihm gehört.,I have not heard about him.,Je n’ai rien entendu de lui.,"auf, zwischen, mit, ohne, über"
kämpfen,für,Akk,fight for,se battre pour,Er kämpft für seine Rechte.,He fights for his rights.,Il se bat pour ses droits.,"zwischen, an, bis, unter, gegen"
kämpfen,gegen,Akk,fight against,se battre contre,Sie kämpft gegen die Ungerechtigkeit.,She fights against injustice.,Elle lutte contre l'injustice.,"vor, für, nach, zu, unter"
klagen,über,Akk,complain about,se plaindre de,Ich klage über Kopfschmerzen.,I complain about headaches.,Je me plains de maux de tête.,"gegen, an, bis, nach, zwischen"
kommen,zu,Dat,come to,Tous les participants parviennent à un accord.,Alle Teilnehmer kommen zu einer Einigung.,All participants come to an agreement.,Cela mène à un résultat.,"bei, nach, über, an, von"
lachen,über,Akk,laugh about,rire de,Wir lachen über den Witz.,We laugh about the joke.,Nous rions de la blague.,"ohne, bis, vor, an, für"
leiden,an,Dat,suffer from,souffrir de,Er leidet an einer Krankheit.,He suffers from an illness.,Il souffre d’une maladie.,"bis, von, gegen, zwischen, vor"
sich interessieren,für,Akk,be interested in,s’intéresser à,Ich interessiere mich für Musik.,I am interested in music.,Je m'intéresse à la musique.,"mit, zu, von, bei, gegen"
sich kümmern,um,Akk,take care of,s’occuper de,Sie kümmert sich um die Gäste.,She takes care of the guests.,Elle s’occupe des invités.,"mit, ohne, an, zu, für"
sich konzentrieren,auf,Akk,concentrate on,se concentrer sur,Ich konzentriere mich auf die Aufgabe.,I concentrate on the task.,Je me concentre sur la tâche.,"an, mit, zu, zwischen, unter"
nachdenken,über,Akk,think about,réfléchir à,Ich denke über das Problem nach.,I think about the problem.,Je réfléchis au problème.,"ohne, bis, gegen, zwischen, von"
protestieren,gegen,Akk,protest against,protester contre,Wir protestieren gegen die Entscheidung.,We protest against the decision.,Nous protestons contre la décision.,"über, unter, an, von, bis"
sich sorgen,um,Akk,worry about,se préoccuper de,Er sorgt sich um seine Eltern.,He worries about his parents.,Il s'inquiète pour ses parents.,"bis, über, für, ohne, auf"
sprechen,mit,Dat,talk with,parler avec,Ich spreche mit dem Lehrer.,I talk with the teacher.,Je parle avec le professeur.,"vor, von, über, bis, gegen"
sprechen,über,Akk,talk about,parler de,Wir sprechen über den Film.,We talk about the movie.,Nous parlons du film.,"bei, zu, auf, bis, für"
sprechen,von,Dat,talk about (mention),parler de (mentionner),Er spricht von seiner Kindheit.,He talks about his childhood.,Il parle de son enfance.,"für, zwischen, gegen, ohne, vor"
staunen,über,Akk,be amazed at,s’étonner de,Ich staune über deine Fähigkeiten.,I am amazed at your skills.,Je suis étonné par tes compétences.,"zwischen, bei, bis, vor, nach"
sterben,an,Dat,die of,mourir de,Er ist an Krebs gestorben.,He died of cancer.,Il est mort d’un cancer.,"von, zwischen, gegen, bis, für"
teilnehmen,an,Dat,participate in,participer à,Ich nehme an der Konferenz teil.,I participate in the conference.,Je participe à la conférence.,"auf, gegen, ohne, mit, über"
träumen,von,Dat,dream of,rêver de,Ich träume von einem Haus am Meer.,I dream of a house by the sea.,Je rêve d’une maison au bord de la mer.,"für, an, zwischen, mit, nach"
sich unterhalten,mit,Dat,chat with,s’entretenir avec,Ich unterhalte mich mit meinem Freund.,I chat with my friend.,Je discute avec mon ami.,"über, unter, für, von, ohne"
sich unterhalten,über,Akk,chat about,discuter de,Wir unterhalten uns über das Wetter.,We chat about the weather.,Nous parlons de la météo.,"zu, vor, bis, an, für"
sich verabreden,mit,Dat,make an appointment with,convenir d’un rendez-vous avec,Ich verabrede mich mit ihr.,I make an appointment with her.,J’ai rendez-vous avec elle.,"gegen, über, ohne, zwischen, an"
sich verlieben,in,Akk,fall in love with,tomber amoureux de,Sie hat sich in ihn verliebt.,She fell in love with him.,Elle est tombée amoureuse de lui.,"vor, über, bis, an, gegen"
sich wundern,über,Akk,be surprised at,s’étonner de,Ich wundere mich über seine Reaktion.,I am surprised at his reaction.,Je suis surpris par sa réaction.,"bei, zu, ohne, auf, an"
warten,auf,Akk,wait for,attendre sur,Ich warte auf meinen Freund.,I wait for my friend.,J'attend sur mon amis.,"gegen, an, vor, bis, von"
